file,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
media/libyuv/util/compare.cc,63,10,1,3,0.21
media/libyuv/include/libyuv/basic_types.h,132,0,0,0,2.50
media/libyuv/include/libyuv/compare.h,73,0,0,0,0.38
media/libyuv/include/libyuv/version.h,16,0,0,0,0.00
xpcom/threads/nsEnvironment.h,36,1,1,0,0.46
xpcom/glue/nsISupportsImpl.h,1116,1,29,1,1.50
xpcom/glue/nsID.h,154,1,2,0,2.60
xpcom/glue/nsStringAPI.h,1592,1,178,1,0.27
xpcom/base/nscore.h,299,0,0,0,99.00
xpcom/string/nsXPCOMStrings.h,748,1,6,0,4.93
xpcom/glue/nsTArray.h,2339,1,206,3,0.38
xpcom/glue/nsDebug.h,442,1,1,0,12.73
xpcom/string/nsTSubstring.h,1177,1,97,1,0.45
build/stlport/stlport/stl/config/features.h,1079,0,0,0,29.40
xpcom/string/nsLiteralString.h,37,0,0,0,0.00
testing/web-platform/tests/resources/webidl2/test/widlproc/src/process.h,27,0,0,0,7.50
xpcom/base/JSObjectHolder.h,42,1,3,0,1.42
security/nss/lib/pkcs12/pkcs12t.h,366,0,0,0,0.36
security/nss/lib/util/seccomon.h,92,0,0,0,0.69
security/nss/lib/util/secoid.h,141,0,0,0,2.93
security/nss/lib/certdb/cert.h,1584,0,0,0,1.72
security/nss/lib/cryptohi/key.h,12,0,0,0,0.00
nsprpub/lib/ds/plarena.h,258,0,0,0,3.87
security/nss/lib/pkcs7/secpkcs7.h,610,0,0,0,3.01
security/nss/lib/util/secdig.h,103,0,0,0,4.20
media/webrtc/trunk/webrtc/modules/video_coding/main/source/rtt_filter.h,68,0,0,0,0.87
media/webrtc/trunk/webrtc/typedefs.h,201,0,0,0,0.00
media/webrtc/trunk/tools/gyp/test/builddir/src/subdir2/subdir3/subdir4/prog4.c,10,1,1,0,0.00
gfx/skia/skia/src/animator/SkDisplayPost.h,59,1,1,0,0.23
gfx/skia/skia/src/animator/SkDisplayable.h,112,1,14,0,0.15
gfx/skia/skia/include/views/SkEvent.h,284,1,30,0,1.80
gfx/skia/skia/include/views/SkEventSink.h,112,1,1,0,1.66
gfx/skia/skia/src/animator/SkMemberInfo.h,276,5,8,3,0.35
gfx/skia/skia/src/animator/SkIntArray.h,55,0,0,0,0.21
gfx/skia/skia/src/animator/SkDisplayType.h,206,1,1,0,0.11
modules/libjar/zipwriter/nsZipWriter.cpp,1144,9,32,7,0.09
modules/libjar/zipwriter/nsZipWriter.h,80,0,0,0,0.09
modules/libjar/zipwriter/StreamFunctions.h,68,1,7,0,0.25
modules/libjar/zipwriter/nsZipDataStream.h,45,1,2,0,0.18
xpcom/glue/nsComponentManagerUtils.h,276,2,21,1,0.07
xpcom/glue/nsMemory.h,136,0,0,0,3.68
xpcom/base/nsError.h,216,1,4,0,2.19
xpcom/io/nsStreamUtils.h,295,0,0,0,2.73
xpcom/glue/nsThreadUtils.h,1067,1,74,2,0.34
netwerk/base/nsNetUtil.h,1022,3,6,3,0.69
nsprpub/pr/include/prio.h,2022,0,0,0,3.77
xpcom/glue/nsISupportsUtils.h,145,2,3,1,2.50
modules/libjar/zipwriter/nsZipHeader.h,94,1,2,0,0.14
nsprpub/pr/include/prtime.h,262,0,0,0,4.25
build/stlport/stlport/stl/_cprolog.h,25,0,0,0,0.00
toolkit/components/terminator/nsTerminator.h,44,1,1,0,0.37
embedding/components/webbrowserpersist/nsWebBrowserPersist.h,181,0,0,0,0.09
xpcom/glue/nsCOMPtr.h,1425,1,94,1,0.27
xpcom/glue/nsWeakReference.h,48,1,4,0,0.38
xpcom/glue/nsClassHashtable.h,136,2,6,2,0.64
xpcom/glue/nsHashKeys.h,690,1,115,1,0.31
media/libvpx/vp8_rtcd_x86-win32-vs12.h,528,0,0,0,0.02
media/libvpx/vpx_ports/x86.h,303,3,6,4,0.24
media/webrtc/trunk/webrtc/modules/video_capture/windows/help_functions_ds.h,35,0,0,0,0.86
media/webrtc/trunk/tools/gyp/test/external-cross-compile/src/test1.cc,1,0,0,0,0.00
dom/media/SharedBuffer.h,81,1,11,1,0.45
xpcom/base/nsAutoPtr.h,454,1,48,1,0.24
uriloader/exthandler/mac/nsOSHelperAppService.h,48,0,0,0,0.88
uriloader/exthandler/nsExternalHelperAppService.h,489,2,1,0,2.17
uriloader/exthandler/nsMIMEInfoImpl.h,196,1,8,1,1.17
security/nss/external_tests/google_test/gtest/test/gtest_environment_test.cc,192,1,12,1,0.62
security/nss/external_tests/google_test/gtest/include/gtest/gtest.h,2307,1,103,2,1.63
security/nss/external_tests/google_test/gtest/src/gtest-internal-inl.h,1192,1,68,3,0.89
security/nss/external_tests/google_test/gtest/include/gtest/internal/gtest-port.h,2432,1,80,2,2.03
layout/style/nsCSSPropList.h,4558,0,0,0,0.07
layout/style/nsCSSProperty.h,118,1,1,0,0.79
build/stlport/stlport/float.h,52,0,0,0,0.00
toolkit/crashreporter/google-breakpad/src/common/solaris/dump_symbols.cc,681,4,27,4,0.25
toolkit/crashreporter/gonk-include/sys/stat.h,39,0,0,0,0.00
toolkit/crashreporter/google-breakpad/src/common/scoped_ptr.h,404,1,39,1,0.88
toolkit/crashreporter/google-breakpad/src/common/solaris/dump_symbols.h,49,0,0,0,4.86
toolkit/crashreporter/google-breakpad/src/common/solaris/file_id.h,66,1,1,0,3.50
toolkit/crashreporter/google-breakpad/src/common/solaris/guid_creator.h,50,0,0,0,11.33
gfx/skia/skia/include/private/SkTSearch.h,146,3,9,3,0.62
gfx/skia/skia/include/core/SkTypes.h,693,2,39,5,1.07
media/webrtc/trunk/webrtc/system_wrappers/source/scoped_vector_unittest.cc,328,5,37,3,0.15
media/webrtc/trunk/webrtc/system_wrappers/interface/scoped_vector.h,148,1,41,1,0.22
media/webrtc/trunk/testing/gtest/include/gtest/gtest.h,2350,1,102,1,1.60
media/webrtc/trunk/webrtc/base/scoped_ptr.h,646,1,62,1,1.26
media/webrtc/trunk/webrtc/base/constructormagic.h,53,0,0,0,0.00
gfx/2d/PathCairo.h,95,1,3,0,0.17
gfx/2d/2D.h,1400,1,65,1,0.89
gfx/cairo/cairo/src/cairo.h,2729,0,0,0,1.14
media/webrtc/trunk/webrtc/modules/audio_coding/neteq/dsp_helper.h,136,0,0,0,0.95
media/webrtc/trunk/webrtc/modules/audio_coding/neteq/audio_multi_vector.h,139,1,1,0,1.60
gfx/skia/skia/src/core/SkUtilsArm.cpp,152,0,0,0,0.00
gfx/skia/skia/src/core/SkUtilsArm.h,87,1,1,0,14.00
gfx/skia/skia/include/core/SkPreConfig.h,264,0,0,0,0.00
gfx/skia/skia/include/config/SkUserConfig.h,183,0,0,0,0.00
netwerk/srtp/src/crypto/rng/rand_source.c,158,2,3,1,2.43
netwerk/srtp/src/include/config.h,6,0,0,0,0.00
netwerk/srtp/src/crypto/include/rand_source.h,91,0,0,0,8.62
gfx/skia/skia/src/gpu/text/GrBatchFontCache.h,228,2,19,3,0.40
gfx/skia/skia/src/gpu/GrBatchAtlas.h,265,3,28,3,0.27
gfx/skia/skia/src/gpu/text/GrFontScaler.h,69,1,3,0,0.48
gfx/skia/skia/src/gpu/GrGlyph.h,103,1,14,1,0.23
gfx/skia/skia/src/core/SkGlyph.h,188,2,21,3,0.17
gfx/skia/skia/src/core/SkTDynamicHash.h,289,6,32,6,0.15
gfx/skia/skia/src/core/SkVarAlloc.h,55,5,2,3,0.44
dom/media/gmp/GMPService.h,149,1,6,1,0.15
xpcom/string/nsString.h,191,1,13,0,0.26
dom/base/nsPIDOMWindow.h,928,1,38,2,0.72
dom/base/nsIDocument.h,3237,1,166,1,0.85
gfx/angle/src/libANGLE/renderer/d3d/d3d11/internal_format_initializer_table.h,31,0,0,0,1.50
gfx/angle/src/libANGLE/renderer/d3d/d3d11/Renderer11.h,479,1,15,0,0.23
js/src/jit/arm64/Bailouts-arm64.cpp,67,1,6,0,0.14
js/src/jit/Bailouts.h,219,1,13,0,1.04
js/src/ctypes/libffi/testsuite/libffi.call/cls_8byte.c,88,2,3,0,0.20
js/src/ctypes/libffi/testsuite/libffi.call/ffitest.h,135,0,0,0,0.00
gfx/cairo/cairo/src/cairo-xlib-xrender.h,66,0,0,0,0.00
js/public/UbiNode.h,1123,1,130,0,0.86
js/src/jspubtd.h,436,1,24,1,0.46
gfx/skia/skia/src/core/SkRRect.cpp,573,12,19,5,0.21
gfx/skia/skia/include/core/SkRRect.h,334,0,0,0,1.01
gfx/skia/skia/include/core/SkMatrix.h,834,0,0,0,0.95
gfx/skia/skia/src/core/SkScaleToSides.h,61,19,1,3,1.00
gfx/skia/skia/include/core/SkScalar.h,269,3,17,3,0.81
gfx/skia/skia/include/core/SkString.h,288,0,0,0,0.37
gfx/skia/skia/src/core/SkStringUtils.h,41,1,2,0,0.87
image/ShutdownTracker.cpp,75,2,3,1,0.47
image/ShutdownTracker.h,46,0,0,0,2.55
gfx/skia/skia/src/core/SkPtrRecorder.cpp,74,4,5,5,0.15
gfx/skia/skia/src/core/SkPtrRecorder.h,172,1,8,0,1.12
gfx/angle/src/tests/gl_tests/PackUnpackTest.cpp,207,1,30,2,0.20
gfx/angle/src/tests/test_utils/ANGLETest.h,137,0,0,0,0.23
testing/gtest/gtest/include/gtest/gtest.h,2154,1,88,1,1.77
gfx/angle/include/GLES2/gl2.h,673,0,0,0,0.25
gfx/angle/include/GLES3/gl3.h,1209,0,0,0,0.39
testing/gtest/gtest/include/gtest/gtest-param-test.h,1421,1,65,0,0.25
gfx/angle/src/common/platform.h,84,0,0,0,0.00
gfx/angle/include/EGL/eglext.h,943,0,0,0,1.59
gfx/angle/src/tests/test_utils/angle_test_instantiate.h,52,3,1,2,0.72
ipc/ipdl/test/cxx/TestSyncWakeup.h,74,2,4,1,0.07
media/webrtc/trunk/tools/gyp/test/builddir/src/func3.c,6,1,1,0,0.00
gfx/skia/skia/src/animator/SkCondensedDebug.cpp,1387,0,0,0,0.00
js/src/jskwgen.cpp,425,5,14,4,0.05
build/stlport/stlport/stdarg.h,47,0,0,0,0.00
js/src/vm/Keywords.h,67,0,0,0,0.00
dom/mobilemessage/DeletedMessageInfo.h,59,1,1,0,0.35
media/libopus/silk/float/scale_copy_vector_FLP.c,57,3,1,1,1.53
media/libav/config.h,26,0,0,0,0.00
media/libopus/silk/float/SigProc_FLP.h,204,2,5,1,0.84
media/libopus/silk/typedef.h,78,0,0,0,0.00
media/libopus/include/opus_types.h,159,0,0,0,9.25
dom/camera/DOMCameraCapabilities.cpp,613,2,83,2,0.06
dom/camera/DOMCameraCapabilities.h,245,1,40,0,0.19
dom/base/nsContentUtils.h,2839,1,41,1,1.47
xpcom/glue/nsProxyRelease.h,280,2,22,3,0.61
dom/base/Navigator.h,433,1,10,0,0.26
dom/camera/CameraCommon.h,44,0,0,0,1.44
dom/camera/ICameraControl.h,338,1,26,1,0.21
