node,page_rank,betweenness,closeness,indegree,outdegree
content/media/webspeech/recognition/SpeechRecognitionResult,1.585,144.336,1.884,3,15
security/nss/lib/pk11wrap/pk11util,2.615,54394.248,1.884,24,27
mozilla/HalScreenConfiguration,1.338,0.0,0.487,0,0
nsPILoadGroupInternal,1.338,0.0,0.487,0,0
dom/audiochannel/AudioChannelService,2.957,1277896.257,1.884,22,27
build/stlport/stlport/stl/_cwchar,405.512,3239482.668,1.884,20,7
mozilla/dom/MediaKeys,1.338,0.0,0.487,0,0
media/libstagefright/system/core/libcutils/strdup16to8,1.338,0.0,1.884,0,1
security/nss/lib/freebl/mpi/mpi,75.713,561613.311,1.884,85,13
layout/xul/nsStackFrame,1.404,0.0,1.884,1,18
mozilla/ipc/MessageLink,1.338,0.0,0.487,0,0
toolkit/components/reflect/reflect,1.431,0.0,1.884,1,13
gfx/2d/ScaledFontCairo,1.559,278667.074,1.884,2,8
nsIDataStore,1.338,0.0,0.487,0,0
js/src/jswatchpoint,9.121,239.971,1.884,9,15
toolkit/crashreporter/google-breakpad/src/common/stabs_to_module_unittest,1.338,0.0,1.884,0,9
gfx/skia/trunk/src/animator/SkAnimatorScript2,1.56,297.202,1.884,3,30
toolkit/components/url-classifier/LookupCache,2.945,35610.606,1.884,5,25
media/webrtc/trunk/webrtc/modules/audio_coding/main/test/EncodeDecodeTest,1.454,26.276,1.884,2,22
mozilla/dom/SVGFEDistantLightElementBinding,1.338,0.0,0.487,0,0
media/webrtc/trunk/webrtc/common_audio/resampler/include/push_resampler,2.624,588.269,1.884,8,2
netwerk/base/src/nsURLHelper,41.22,21326.54,1.884,29,19
nsprpub/pr/include/prmon,13.893,1522.573,1.884,29,3
nsIRDFXMLSource,1.338,0.0,0.487,0,0
netwerk/sctp/src/netinet/sctp_pcb,5.306,101464.146,1.884,19,24
media/omx-plugin/include/gb/utils/String8,5.504,12027.003,1.884,32,5
media/stagefright/MPEG4Writer,1.338,0.0,0.487,0,0
gfx/2d/SourceSurfaceCG,3.609,79599.337,1.884,22,9
content/base/src/NodeIterator,1.391,0.0,1.884,1,22
mfbt/tests/TestIntegerPrintfMacros,1.338,0.0,1.884,0,1
dom/xslt/xslt/txFormatNumberFunctionCall,1.473,2920.207,1.884,3,20
modules/freetype2/src/cache/ftcsbits,1.759,3546.993,1.884,4,17
content/base/public/nsIDocumentObserver,6.649,3521.813,1.884,37,9
media/webrtc/trunk/webrtc/modules/video_coding/main/test/video_source,1.903,4047.397,1.884,5,8
security/nss/lib/freebl/sha256,2.562,0.211,1.884,3,1
d3d10_1,1.338,0.0,0.487,0,0
media/libopus/silk/MacroDebug,4.604,0.0,1.884,1,0
media/libyuv/unit_test/scale_test,1.338,0.0,1.884,0,10
nsIApplicationReputation,1.338,0.0,0.487,0,0
intl/icu/source/i18n/tzfmt,1.405,48634.344,1.884,2,52
media/libvpx/vp8/common/arm/dequantize_arm,1.338,0.0,1.884,0,3
toolkit/crashreporter/google-breakpad/src/client/windows/crash_generation/client_info,2.864,85875.844,1.884,10,5
media/webrtc/trunk/webrtc/video/video_send_stream_tests,1.338,0.0,1.884,0,38
build/stlport/stlport/stl/pointers/_tools,36.855,16505.376,1.884,5,1
widget/windows/winrt/MetroInput,1.81,171575.629,1.884,4,27
gfx/cairo/cairo/src/cairo-image-surface,13.552,363598.327,1.884,48,53
media/webrtc/trunk/tools/gyp/test/rules/src/subdir3/program,1.338,0.0,0.487,0,0
content/media/fmp4/ffmpeg/libav54/include/libavutil/log,3.081,13060.72,1.884,5,4
AccessibleStates,1.338,0.0,0.487,0,0
mozilla/dom/FragmentOrElement,1.338,0.0,0.487,0,0
js/xpconnect/src/XPCForwards,1.453,0.0,1.884,2,0
js/xpconnect/src/XPCWrappedNative,1.868,24351.251,1.884,9,52
security/manager/ssl/src/nsDataSignatureVerifier,16.014,2646692.879,1.884,149,46
mozilla/css/Loader,1.338,0.0,0.487,0,0
security/nss/lib/ckfw/capi/ckcapiver,1.338,0.0,1.883,0,1
media/webrtc/signaling/src/sipcc/core/sdp/sdp_config,1.602,0.5,1.884,3,4
dom/ipc/TabContext,1.622,250.855,1.884,5,8
accessible/base/ARIAMap,10.342,9896.414,1.884,46,14
CPlusTest/CPlusTest,1.338,0.0,0.487,0,0
gfx/skia/trunk/src/gpu/GrAllocPool,1.79,0.0,1.884,4,5
intl/icu/source/i18n/dtrule,1.602,0.333,1.884,4,8
tlhelp32,1.338,0.0,0.487,0,0
gfx/skia/trunk/src/pdf/SkPDFFormXObject,1.564,213.588,1.884,5,17
media/webrtc/trunk/webrtc/modules/audio_processing/aec/echo_cancellation_unittest,1.338,0.0,1.884,0,7
mozilla/dom/HTMLIFrameElement,1.338,0.0,0.487,0,0
gfx/skia/trunk/src/animator/SkDisplayAdd,1.542,1.519,1.884,3,15
content/media/fmp4/apple/AppleCMLinker,5.63,15247.912,1.884,6,6
media/webrtc/trunk/webrtc/test/testsupport/fileutils,15.315,1257.098,1.884,102,4
layout/mathml/nsMathMLmspaceFrame,1.432,2983.75,1.884,2,19
media/webrtc/trunk/webrtc/system_wrappers/source/rw_lock_win,1.612,0.0,1.884,1,5
js/src/gc/RootMarking,8.481,10560.404,1.884,3,38
gfx/angle/src/libGLESv2/Constants,2.105,0.0,1.884,7,0
intl/icu/source/common/uinvchar,6.607,2195.79,1.884,59,12
media/libvorbis/lib/modes/setup_11,1.819,34.839,1.884,1,7
js/src/jsapi-tests/testUncaughtError,1.338,0.0,1.884,0,6
build/stlport/src/details/fstream_unistd,1.5,65.052,1.884,1,7
media/webrtc/trunk/webrtc/modules/video_processing/main/source/color_enhancement,1.571,13454.091,1.884,2,10
accessible/atk/nsMaiInterfaceDocument,1.751,0.0,1.884,1,11
modules/freetype2/src/base/ftobjs,7.025,241964.368,1.884,58,26
dom/plugins/ipc/ChildTimer,1.547,5.934,1.884,2,8
security/nss/external_tests/ssl_gtest/tls_parser,1.736,508.016,1.884,2,4
testing/gtest/gtest/include/gtest/gtest-death-test,6.716,1868.736,1.884,2,4
gfx/skia/trunk/include/views/animated/SkBorderView,1.44,0.0,1.884,2,12
mozilla/dom/quota/QuotaCommon,1.338,0.0,0.487,0,0
media/webrtc/trunk/webrtc/modules/audio_processing/aec/echo_cancellation,1.717,30271.333,1.884,3,8
gfx/thebes/gfxMatrix,12.441,38683.468,1.884,71,7
intl/uconv/ucvlatin/8859-16,1.338,0.0,0.487,0,0
content/media/fmp4/ffmpeg/libav54/include/libavutil/intfloat_readwrite,1.338,0.0,1.884,0,2
media/libvpx/vp8/decoder/detokenize,1.59,7536.565,1.884,4,11
xpcom/ds/nsHashPropertyBag,2.547,10743.966,1.884,20,19
netwerk/base/src/nsIncrementalDownload,1.338,0.0,1.884,0,22
mint/mintbind,1.338,0.0,0.487,0,0
intl/uconv/ucvlatin/nsUnicodeToISO88592,1.538,0.047,1.884,2,7
json/writer,1.338,0.0,0.487,0,0
parser/expat/lib/iasciitab,1.75,0.0,1.884,1,0
js/src/ctypes/libffi/src/dlmalloc,1.813,0.0,1.884,1,0
mozilla/dom/MozMobileConnectionArrayBinding,1.338,0.0,0.487,0,0
asm/ioctls,1.338,0.0,0.487,0,0
media/webrtc/trunk/webrtc/modules/audio_coding/neteq4/neteq,1.758,259401.589,1.884,7,14
mozilla/_ipdltest/PTestDataStructuresSubChild,1.338,0.0,0.487,0,0
gfx/cairo/cairo/src/cairo-qt,1.385,0.0,1.884,1,1
security/nss/lib/util/base64,3.287,11.683,1.884,23,2
media/webrtc/trunk/tools/gyp/test/hard_dependency/src/b,2.747,4.0,0.487,1,2
nsIControllerContext,1.338,0.0,0.487,0,0
security/nss/lib/pki/pki3hack,2.566,24497.442,1.884,17,51
gfx/src/nsThebesGfxFactory,1.338,0.0,1.884,0,8
gfx/angle/src/compiler/translator/UnfoldShortCircuit,1.702,0.0,1.884,2,5
usr/include/malloc,1.338,0.0,0.487,0,0
ipc/chromium/src/base/atomicops_internals_x86_gcc,20.747,45628.861,1.884,19,6
js/src/ctypes/libffi/testsuite/libffi.call/nested_struct9,5.811,10.0,1.884,11,2
libgnomevfs/gnome-vfs-ops,1.338,0.0,0.487,0,0
media/webrtc/signaling/src/sipcc/include/cc_info_listener,1.387,0.0,1.884,1,1
