bug_id,max_pos,min_neg,overall,owner_pos,owner_neg,manager_pos,manager_neg
1044233,2,-2,1,2,-2,0,0
1042098,2,-2,0,0,0,0,0
1045886,3,-4,-1,3,-3,2,-2
1042092,2,-3,-4,0,0,0,0
1043900,2,-3,0,0,0,0,0
1042090,3,-2,-2,0,0,0,0
1042096,3,-2,-2,0,0,0,0
1044975,3,-3,-4,2,-2,2,-2
1041822,3,-2,7,0,0,0,0
1045289,2,-2,-2,0,0,0,0
1041820,1,-1,0,1,-1,0,0
1045984,1,-1,0,0,0,0,0
1042068,3,-2,2,2,-2,3,-2
1044041,3,-1,2,3,-1,0,0
1043627,3,-2,1,3,-2,0,0
1042489,1,-2,-2,0,0,0,0
1041951,3,-3,13,2,-3,0,0
1041950,1,-3,-8,0,0,0,0
1042482,1,-1,0,0,0,0,0
1045081,2,-1,1,2,-1,0,0
1042244,3,-3,-5,0,0,0,0
1042710,2,-2,0,0,0,0,0
1045084,3,-2,-3,3,-2,1,-1
1042712,2,-2,2,0,0,0,0
1045754,2,-3,-2,2,-2,0,0
1045756,2,-2,-4,2,-2,0,0
1045751,4,-2,9,0,0,1,-1
1046004,2,-2,-4,1,-1,1,-2
1046005,2,-3,1,0,0,0,0
1046006,1,-1,0,0,0,0,0
1046003,3,-2,1,1,-2,2,-1
1043301,2,-2,2,0,0,1,-1
1042946,2,-3,-1,0,0,0,0
1042396,2,-2,0,2,-2,0,0
1042398,3,-4,0,3,-4,0,0
1044658,3,-4,-11,0,0,0,0
1044305,1,-1,0,1,-1,0,0
1043281,1,-1,0,0,0,0,0
1045181,1,-4,-4,0,0,0,0
1042432,2,-3,-1,2,-3,2,-1
1043285,1,-3,-4,1,-3,0,0
1042436,3,-4,-3,3,-4,0,0
1043289,1,-2,-3,1,-2,0,0
1043534,3,-2,2,0,0,0,0
1043531,3,-3,-6,3,-2,0,0
1045018,2,-2,2,2,-1,0,0
1046139,1,-1,0,0,0,0,0
1043888,1,-2,-2,0,0,0,0
1045978,3,-2,1,1,-1,0,0
1045971,2,-1,1,0,0,0,0
1044408,3,-4,0,3,-4,0,0
1045975,2,-2,-1,2,-1,0,0
1045977,3,-4,0,0,0,1,-1
1045333,1,-1,0,0,0,0,0
1045239,3,-3,3,0,0,0,0
1045232,2,-3,-2,0,0,0,0
1045231,3,-4,-1,1,-1,0,0
1046183,2,-2,-1,1,-1,0,0
1044714,2,-2,1,0,0,0,0
1044498,3,-3,-8,0,0,0,0
1046222,1,-3,-3,1,-3,0,0
1044497,3,-4,-8,1,-1,0,0
1044490,3,-3,0,3,-3,1,-2
1042508,3,-3,1,2,-2,2,-2
1042504,3,-3,-1,1,-1,1,-2
1042054,2,-2,0,0,0,1,-1
1042052,2,-2,0,0,0,0,0
1045526,2,-1,2,0,0,0,0
1043524,2,-3,-2,2,-3,0,0
1045524,3,-4,2,3,-4,0,0
1044577,3,-3,10,0,0,0,0
1044478,2,-1,1,2,-1,0,0
1045247,2,-2,0,0,0,0,0
1045241,2,-2,0,0,0,0,0
1042204,2,-2,3,0,0,1,-1
1042208,3,-2,2,3,-2,0,0
1043372,3,-4,6,2,-3,0,0
1042619,2,-3,0,0,0,0,0
1043936,1,-1,0,0,0,0,0
1043934,1,-1,0,0,0,0,0
1046049,3,-3,1,0,0,0,0
1043835,1,-2,-1,0,0,0,0
1045413,2,-2,-1,2,-2,0,0
1045792,3,-3,1,0,0,0,0
1042295,2,-2,-2,0,0,0,0
