bug_id,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment,page_rank,betweenness,closeness,indegree,outdegree
1197534,616.5,2.0,42.5,3.0,0.1,7.14,1208732.25,1.76,51.67,32.33
1197538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1126562,6483.0,4.0,281.0,7.0,0.16,10.59,470132.41,1.87,24.0,71.0
1080904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080909,451.0,1.0,27.0,1.0,0.04,1.34,0.0,0.85,0.0,1.25
1246680,3940.0,4.0,109.0,4.0,0.05,1.62,17483.92,1.04,3.5,26.0
1271609,7802.0,3.0,368.0,5.0,0.2,10.75,764203.11,1.03,25.5,42.0
1271606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1271607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1159378,0.0,0.0,0.0,0.0,0.0,1.47,60.92,1.16,2.5,7.5
1245139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1246536,997.0,4.0,42.0,4.0,0.06,1.45,17586.41,1.65,4.0,37.0
1134667,224.0,3.0,10.0,4.0,0.17,1.47,2.12,1.87,3.0,23.0
1266077,340.0,4.0,18.0,4.0,0.11,1.19,0.0,1.65,0.0,25.0
1227810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1227813,1195.0,3.0,42.0,5.0,0.29,1.28,1.62,1.65,2.0,17.0
1165184,1923.2,2.4,97.2,3.2,0.5,37.61,2425599.78,1.79,237.0,92.0
1073113,184.0,2.0,15.0,2.0,0.13,1.37,0.0,1.92,0.0,12.0
1174204,491.0,4.0,21.0,4.0,0.05,3.1,314.23,1.79,9.5,11.5
1073117,2292.11,5.0,67.33,2.67,0.3,1.45,412.52,1.3,0.93,6.53
1219820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
