Delta,Month,Channel,Number_of_uplifts
0,Jul 2014,aurora,22
0,Jul 2014,beta,10
1,Aug 2014,release,1
1,Aug 2014,beta,35
1,Aug 2014,aurora,111
2,Sep 2014,beta,105
2,Sep 2014,release,5
2,Sep 2014,aurora,201
3,Oct 2014,beta,112
3,Oct 2014,release,14
3,Oct 2014,aurora,219
4,Nov 2014,beta,79
4,Nov 2014,aurora,140
4,Nov 2014,release,8
5,Dec 2014,beta,94
5,Dec 2014,aurora,143
6,Jan 2015,aurora,246
6,Jan 2015,release,11
6,Jan 2015,beta,162
7,Feb 2015,aurora,196
7,Feb 2015,release,7
7,Feb 2015,beta,96
8,Mar 2015,beta,147
8,Mar 2015,aurora,251
8,Mar 2015,release,12
9,Apr 2015,beta,126
9,Apr 2015,release,43
9,Apr 2015,aurora,186
10,May 2015,aurora,245
10,May 2015,beta,100
10,May 2015,release,75
11,Jun 2015,beta,79
11,Jun 2015,release,2
11,Jun 2015,aurora,115
12,Jul 2015,release,1
12,Jul 2015,beta,117
12,Jul 2015,aurora,202
13,Aug 2015,aurora,195
13,Aug 2015,release,15
13,Aug 2015,beta,119
14,Sep 2015,beta,95
14,Sep 2015,release,13
14,Sep 2015,aurora,165
15,Oct 2015,release,5
15,Oct 2015,beta,89
15,Oct 2015,aurora,183
16,Nov 2015,aurora,164
16,Nov 2015,beta,77
17,Dec 2015,release,3
17,Dec 2015,aurora,106
17,Dec 2015,beta,69
18,Jan 2016,release,11
18,Jan 2016,beta,65
18,Jan 2016,aurora,160
19,Feb 2016,beta,117
19,Feb 2016,aurora,214
19,Feb 2016,release,5
20,Mar 2016,beta,125
20,Mar 2016,release,11
20,Mar 2016,aurora,207
21,Apr 2016,aurora,190
21,Apr 2016,release,13
21,Apr 2016,beta,77
22,May 2016,beta,120
22,May 2016,aurora,233
23,Jun 2016,release,5
23,Jun 2016,beta,88
23,Jun 2016,aurora,123
24,Jul 2016,aurora,147
24,Jul 2016,release,1
24,Jul 2016,beta,69
25,Aug 2016,aurora,129
25,Aug 2016,beta,87
25,Aug 2016,release,7
